Iteration,Scenario,Left_Out_Year,Train_Rows,Test_Rows,RMSE,NRMSE_Percent,Status,Error
13,Warm_Full,2022,3817,1243,1655.6644978400395,20.230402868424164,Completed,
14,Warm_Full,2022,3817,1243,1662.7505808763658,20.31698702528143,Completed,
8,Warm_Full,2022,3817,1243,1682.3206900870175,20.556112279236586,Completed,
20,Warm_Full,2022,3817,1243,1649.0565240395322,20.149660681644985,Completed,
0,Warm_Full,2022,3817,1243,1580.6086031609868,19.313302218511,Completed,
3,Warm_Full,2022,3817,1243,1610.4216275591039,19.67758465319925,Completed,
1,Warm_Full,2022,3817,1243,1619.2158715835567,19.785040662414893,Completed,
2,Warm_Full,2022,3817,1243,1584.2047137851453,19.35724274316503,Completed,
16,Warm_Full,2022,3817,1243,1593.5596431749623,19.471549712124357,Completed,
6,Warm_Full,2022,3817,1243,1616.6260718557683,19.753396152364672,Completed,
10,Warm_Full,2022,3817,1243,1590.8677769036944,19.43865806094339,Completed,
11,Warm_Full,2022,3817,1243,1618.0136434426215,19.77035075412574,Completed,
24,Warm_Full,2022,3817,1243,1597.8328009837312,19.523763010231875,Completed,
23,Warm_Full,2022,3817,1243,1659.958108542034,20.28286607843733,Completed,
19,Warm_Full,2022,3817,1243,1605.402806983892,19.616260174542294,Completed,
22,Warm_Full,2022,3817,1243,1603.5910053679859,19.594121947470768,Completed,
27,Warm_Full,2022,3817,1243,1633.2433975403453,19.95644163267386,Completed,
28,Warm_Full,2022,3817,1243,1578.7892769603077,19.29107204927271,Completed,
25,Warm_Full,2022,3817,1243,1615.6133712711605,19.741022062784065,Completed,
26,Warm_Full,2022,3817,1243,1596.9691146393375,19.513209711105244,Completed,
15,Warm_Full,2022,3817,1243,1614.3652101787136,19.725770904244495,Completed,
30,Warm_Full,2022,3817,1243,1640.7874945147987,20.04862221712848,Completed,
12,Warm_Full,2022,3817,1243,1626.7534803685662,19.87714196831609,Completed,
7,Warm_Full,2022,3817,1243,1592.7478508927761,19.4616305014778,Completed,
29,Warm_Full,2022,3817,1243,1586.6578963558848,19.38721794151023,Completed,
4,Warm_Full,2022,3817,1243,1594.8903766905337,19.487809815041132,Completed,
5,Warm_Full,2022,3817,1243,1609.7251269116637,19.669074179782555,Completed,
9,Warm_Full,2022,3817,1243,1629.0455195639083,19.90514817148858,Completed,
18,Warm_Full,2022,3817,1243,1615.6967642703937,19.742041033700634,Completed,
31,Warm_Full,2022,3817,1243,1610.4158700583246,19.677514302859294,Completed,
21,Warm_Full,2022,3817,1243,1587.4872725278265,19.39735200798912,Completed,
17,Warm_Full,2022,3817,1243,1669.7656592512585,20.402703583112313,Completed,
32,Warm_Full,2022,3817,1243,1565.8410297260439,19.13285868036201,Completed,
34,Warm_Full,2022,3817,1243,1652.4427980746693,20.191037233502612,Completed,
43,Warm_Full,2022,3817,1243,1650.7720434388445,20.170622445711295,Completed,
37,Warm_Full,2022,3817,1243,1624.905419787509,19.854560696489088,Completed,
39,Warm_Full,2022,3817,1243,1650.803091102731,20.17100181408536,Completed,
46,Warm_Full,2022,3817,1243,1661.1202996085417,20.297066777622586,Completed,
35,Warm_Full,2022,3817,1243,1596.5360291460186,19.50791788174142,Completed,
38,Warm_Full,2022,3817,1243,1621.3450756408322,19.811057198931778,Completed,
41,Warm_Full,2022,3817,1243,1581.368498393698,19.322587304176363,Completed,
40,Warm_Full,2022,3817,1243,1583.8235586985681,19.35258544637159,Completed,
51,Warm_Full,2022,3817,1243,1601.249629753898,19.565512907413986,Completed,
54,Warm_Full,2022,3817,1243,1596.7791361885904,19.510888382961806,Completed,
57,Warm_Full,2022,3817,1243,1657.110224325372,20.248068059212503,Completed,
56,Warm_Full,2022,3817,1243,1634.9562916496402,19.977371318577735,Completed,
58,Warm_Full,2022,3817,1243,1624.4893464601262,19.84947673712006,Completed,
55,Warm_Full,2022,3817,1243,1616.9375845149868,19.757202495136912,Completed,
36,Warm_Full,2022,3817,1243,1653.5316246054422,20.204341498587777,Completed,
44,Warm_Full,2022,3817,1243,1672.13509542228,20.43165549237492,Completed,
59,Warm_Full,2022,3817,1243,1619.7190275725195,19.79118867632451,Completed,
33,Warm_Full,2022,3817,1243,1579.7042328073496,19.302251805447117,Completed,
62,Warm_Full,2022,3817,1243,1653.9743318540961,20.209750895240738,Completed,
60,Warm_Full,2022,3817,1243,1581.867424254349,19.328683630561095,Completed,
50,Warm_Full,2022,3817,1243,1631.8146868899742,19.938984356711778,Completed,
61,Warm_Full,2022,3817,1243,1581.7623777020456,19.32740007699344,Completed,
63,Warm_Full,2022,3817,1243,1656.0010237352585,20.234514845485226,Completed,
64,Warm_Full,2022,3817,1243,1596.3268475746017,19.50536191254118,Completed,
65,Warm_Full,2022,3817,1243,1581.5313282616085,19.324576906436445,Completed,
53,Warm_Full,2022,3817,1243,1605.0759599410403,19.61226646243343,Completed,
45,Warm_Full,2022,3817,1243,1630.4418220505543,19.922209455261882,Completed,
68,Warm_Full,2022,3817,1243,1627.4005039443443,19.88504788622424,Completed,
72,Warm_Full,2022,3817,1243,1656.5874457862735,20.24168027927839,Completed,
42,Warm_Full,2022,3817,1243,1588.6087033393876,19.411054661598317,Completed,
48,Warm_Full,2022,3817,1243,1618.5492478631872,19.776895252253404,Completed,
47,Warm_Full,2022,3817,1243,1573.829466412563,19.230468608380647,Completed,
66,Warm_Full,2022,3817,1243,1611.9448807225176,19.69619713489869,Completed,
49,Warm_Full,2022,3817,1243,1609.2062564684966,19.662734152491108,Completed,
67,Warm_Full,2022,3817,1243,1616.9205731496525,19.756994634924588,Completed,
69,Warm_Full,2022,3817,1243,1612.2071147984059,19.69940134747193,Completed,
52,Warm_Full,2022,3817,1243,1530.5878057314842,18.702102977892604,Completed,
75,Warm_Full,2022,3817,1243,1629.1396232258257,19.906298014946884,Completed,
74,Warm_Full,2022,3817,1243,1661.1544472637095,20.29748402448749,Completed,
78,Warm_Full,2022,3817,1243,1627.7456140682768,19.889264753137937,Completed,
77,Warm_Full,2022,3817,1243,1595.7701930006103,19.498560204643784,Completed,
83,Warm_Full,2022,3817,1243,1582.1015445746698,19.331544323899603,Completed,
79,Warm_Full,2022,3817,1243,1614.934683411658,19.732729242084243,Completed,
80,Warm_Full,2022,3817,1243,1617.123205699339,19.759470582267642,Completed,
84,Warm_Full,2022,3817,1243,1601.8045265003873,19.572293136588737,Completed,
